,R/O,Year,Host_City,Country,Contestant,Song,Points,Place,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
147,17,2014,Copenhagen,Slovenia,Tinkara Kovač,Round and round,9,25th,,,,,,,,,,,,,,
148,18,2014,Copenhagen,Finland,Softengine,Something Better,72,11th,,,,,,,,,,,,,,
149,19,2014,Copenhagen,Spain,Ruth Lorenzo,Dancing in the rain,74,10th,,,,,,,,,,,,,,
150,20,2014,Copenhagen,Switzerland,Sebalter,Hunter Of Stars,64,13th,5pX8S6xCA08WHIbddDnGRP,0.569,0.889,4.0,-4.4319999999999995,0.0,0.0693,0.141,2.62e-05,0.0972,0.92,176.854,186573.0,4.0
151,21,2014,Copenhagen,Hungary,András Kállay-Saunders,Running,143,5th,,,,,,,,,,,,,,
152,22,2014,Copenhagen,Malta,Firelight,Coming Home,32,23rd,,,,,,,,,,,,,,
153,23,2014,Copenhagen,Denmark,Basim,Cliche Love Song,74,9th,6r8sLTu4D4k27kmeSoCTzB,0.779,0.838,8.0,-4.078,1.0,0.0552,0.0506,0.0,0.0523,0.711,111.98,181010.0,4.0
154,24,2014,Copenhagen,The Netherlands,The Common Linnets,Calm After The Storm,238,2nd,6C2GZHFFO8uXuMYCHiW5Y4,0.6940000000000001,0.391,6.0,-11.089,1.0,0.0303,0.488,0.273,0.12300000000000001,0.382,116.046,212693.0,4.0
155,25,2014,Copenhagen,San Marino,Valentina Monetta,Maybe (Forse),14,24th,,,,,,,,,,,,,,
156,26,2014,Copenhagen,United Kingdom,Molly,Children of the Universe,40,17th,,,,,,,,,,,,,,
157,1,2013,Malmo,France,Amandine Bourgeois,L'enfer Et Moi,14,23rd,3mwZp69BqdKAkstJQyrcNd,0.551,0.615,1.0,-4.921,0.0,0.0344,0.00762,1.01e-06,0.32799999999999996,0.344,179.953,178853.0,4.0
158,2,2013,Malmo,Lithuania,Andrius Pojavis,Something,17,22nd,,,,,,,,,,,,,,
159,3,2013,Malmo,Moldova,Aliona Moon,O Mie,71,11th,2OQ8r8PyqHRQgP5rZoNk5K,0.621,0.718,2.0,-2.99,0.0,0.0306,0.563,0.0,0.182,0.311,128.02,183422.0,4.0
160,4,2013,Malmo,Finland,Krista Siegfrids,Marry Me,13,24th,,,,,,,,,,,,,,
161,5,2013,Malmo,Spain,ESDM,Contigo Hasta El Final (With You Until The End),8,25th,,,,,,,,,,,,,,
162,6,2013,Malmo,Belgium,Roberto Bellarosa,Love Kills,71,12th,0FyoA6hNmCcGN5JKx8Rddp,0.46399999999999997,0.6809999999999999,6.0,-6.572,1.0,0.0347,0.0113,0.0,0.171,0.34700000000000003,132.161,180893.0,4.0
163,7,2013,Malmo,Estonia,Birgit,Et Uus Saaks Alguse,19,20th,1AyIVywds9OFxkhRXdPQ7j,0.488,0.557,5.0,-6.763,1.0,0.0283,0.34299999999999997,0.0,0.205,0.331,77.919,180185.0,4.0
164,8,2013,Malmo,Belarus,Alyona Lanskaya,Solayoh,48,16th,1PYaCFko32RUtuSMuQTRAT,0.81,0.91,11.0,-5.104,0.0,0.0468,0.0198,0.0028399999999999996,0.282,0.602,94.98299999999999,179827.0,4.0
165,9,2013,Malmo,Malta,Gianluca,Tomorrow,120,8th,,,,,,,,,,,,,,
166,10,2013,Malmo,Russia,Dina Garipova,What If,174,5th,,,,,,,,,,,,,,
167,11,2013,Malmo,Germany,Cascada,Glorious,18,21st,,,,,,,,,,,,,,
168,12,2013,Malmo,Armenia,Dorians,Lonely Planet,41,18th,,,,,,,,,,,,,,
169,13,2013,Malmo,The Netherlands,Anouk,Birds,114,9th,,,,,,,,,,,,,,
170,14,2013,Malmo,Romania,Cezar,It's My Life,65,13th,,,,,,,,,,,,,,
171,15,2013,Malmo,United Kingdom,Bonnie Tyler,Believe In Me,23,19th,,,,,,,,,,,,,,
172,16,2013,Malmo,Sweden,Robin Stjernberg,You,62,14th,,,,,,,,,,,,,,
173,17,2013,Malmo,Hungary,ByeAlex,Kedvesem (Zoohacker Remix),84,10th,4TehWvsJK8Inb4esGxtNDc,0.6559999999999999,0.644,5.0,-7.0889999999999995,1.0,0.0761,0.43200000000000005,0.0,0.159,0.5429999999999999,171.763,186977.0,4.0
174,18,2013,Malmo,Denmark,Emmelie de Forest,Only Teardrops,281,1st,,,,,,,,,,,,,,
175,19,2013,Malmo,Iceland,Eythor Ingi,Ég Á Líf,47,17th,4Q0yu5ez3b3zFaTLNtdduq,0.493,0.33899999999999997,9.0,-8.702,1.0,0.0255,0.503,0.0,0.124,0.39399999999999996,74.93,180962.0,4.0
176,20,2013,Malmo,Azerbaijan,Farid Mammadov,Hold Me,234,2nd,,,,,,,,,,,,,,
177,21,2013,Malmo,Greece,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,152,6th,,,,,,,,,,,,,,
178,22,2013,Malmo,Ukraine,Zlata Ognevich,Gravity,214,3rd,,,,,,,,,,,,,,
179,23,2013,Malmo,Italy,Marco Mengoni,L'Essenziale,126,7th,5klQSk2bLb0U3vnvGJUZf4,0.556,0.632,6.0,-4.438,1.0,0.0359,0.196,0.0,0.114,0.152,126.03,218893.0,4.0
180,24,2013,Malmo,Norway,Margaret Berger,I Feed You My Love,191,4th,4q8NpLGEVaMLLzlnoaYgV6,0.33899999999999997,0.9520000000000001,11.0,-4.418,0.0,0.424,0.004,0.00020800000000000001,0.24100000000000002,0.395,192.179,182560.0,4.0
181,25,2013,Malmo,Georgia,Nodi Tatishvili & Sophie Gelovani,Waterfall,50,15th,,,,,,,,,,,,,,
182,26,2013,Malmo,Ireland,Ryan Dolan,Only Love Survives,5,26th,4LVHVbWMCthAmnN9RJOqip,0.541,0.8340000000000001,0.0,-5.257999999999999,0.0,0.0663,0.00498,0.0,0.191,0.355,128.012,180000.0,4.0
183,1,2012,Baku,United Kingdom,Engelbert Humperdinck,Love Will Set You Free,12,25th,0gbIrlLpSKnonxTfdWI3zA,0.462,0.317,2.0,-8.373,0.0,0.0292,0.8590000000000001,0.0,0.14300000000000002,0.23600000000000002,120.137,178867.0,3.0
184,2,2012,Baku,Hungary,Compact Disco,Sound Of Our Hearts,19,24th,5RNQYSq4W6SyvzjG0aNcdV,0.409,0.8170000000000001,11.0,-4.274,0.0,0.0411,0.0112,4.04e-05,0.182,0.251,79.956,180013.0,4.0
185,3,2012,Baku,Albania,Rona Nishliu,Suus,146,5th,,,,,,,,,,,,,,
186,4,2012,Baku,Lithuania,Donny Montell,Love Is Blind,70,14th,,,,,,,,,,,,,,
187,5,2012,Baku,Bosnia & Herzegovina,Maya Sar,Korake Ti Znam,55,18th,2pDv9QdZ6hpdGyi0qFG8Js,0.379,0.34700000000000003,9.0,-7.502999999999999,1.0,0.0321,0.715,0.0,0.244,0.436,122.30799999999999,183787.0,4.0
188,6,2012,Baku,Russia,Buranovskiye Babushki,Party For Everybody,259,2nd,,,,,,,,,,,,,,
189,7,2012,Baku,Iceland,Greta Salóme & Jónsi,Never Forget,46,20th,,,,,,,,,,,,,,
190,8,2012,Baku,Cyprus,Ivi Adamou,La La Love,65,16th,,,,,,,,,,,,,,
191,9,2012,Baku,France,Anggun,Echo (You And I),21,22nd,1iqnkBWge47Yhboceuceas,0.58,0.7859999999999999,10.0,-4.864,1.0,0.0332,0.00434,0.0,0.105,0.7,136.95,183520.0,4.0
192,10,2012,Baku,Italy,Nina Zilli,L'Amore È Femmina (Out Of Love),101,9th,,,,,,,,,,,,,,
193,11,2012,Baku,Estonia,Ott Lepland,Kuula,120,6th,4AKJSL7TqJ1JwSdTMm45ht,0.354,0.445,5.0,-7.234,1.0,0.0323,0.204,8.98e-06,0.11900000000000001,0.165,128.735,259000.0,4.0
194,12,2012,Baku,Norway,Tooji,Stay,7,26th,,,,,,,,,,,,,,
195,13,2012,Baku,Azerbaijan,Sabina Babayeva,When The Music Dies,150,4th,1w2jm6QteAq3qw9xAYSe2W,0.22399999999999998,0.591,1.0,-4.425,0.0,0.0332,0.605,2.3800000000000003e-05,0.433,0.303,184.842,179995.0,3.0
196,14,2012,Baku,Romania,Mandinga,Zaleilah,71,12th,73VPoYetnfQbWT8R9QJzaD,0.703,0.809,0.0,-4.897,1.0,0.0518,0.0253,0.000341,0.276,0.812,126.99,218540.0,4.0
197,15,2012,Baku,Denmark,Soluna Samay,Should've Known Better,21,23rd,,,,,,,,,,,,,,
198,16,2012,Baku,Greece,Eleftheria Eleftheriou,Aphrodisiac,64,17th,47qzVDvkWDUu3yUL3jnFlC,0.635,0.858,11.0,-5.092,0.0,0.0339,0.00173,2.14e-05,0.29600000000000004,0.87,110.01100000000001,179440.0,4.0
199,17,2012,Baku,Sweden,Loreen,Euphoria,372,1st,2knr7ikPt4l7bk92qS4ZXW,0.518,0.679,11.0,-5.406000000000001,0.0,0.0355,0.079,4.85e-05,0.0588,0.106,132.14600000000002,214133.0,4.0
200,18,2012,Baku,Turkey,Can Bonomo,Love Me Back,112,7th,6Sa2IXbpv1TTpYdBY0dJXH,0.698,0.9590000000000001,4.0,-5.127000000000001,1.0,0.0721,0.183,0.0,0.726,0.639,102.022,181745.0,4.0
201,19,2012,Baku,Spain,Pastora Soler,Quédate Conmigo (Stay With Me),97,10th,,,,,,,,,,,,,,
202,20,2012,Baku,Germany,Roman Lob,Standing Still,110,8th,,,,,,,,,,,,,,
203,21,2012,Baku,Malta,Kurt Calleja,This Is The Night,41,21st,3crsaMSUy4NWIm0ARcMRFK,0.6509999999999999,0.8740000000000001,0.0,-4.176,1.0,0.0404,0.00118,0.0,0.0678,0.636,122.02,182480.0,4.0
204,22,2012,Baku,North Macedonia,Kaliopi,Crno I Belo,71,13th,1tvQ2CzMCbcVGylkU9u8TS,0.7340000000000001,0.517,2.0,-10.13,0.0,0.327,0.35600000000000004,0.0,0.0792,0.21100000000000002,129.78799999999998,181838.0,4.0
205,23,2012,Baku,Ireland,Jedward,Waterline,46,19th,0xCMGAf80y3dUevG2qXpvS,0.659,0.731,10.0,-5.555,1.0,0.0385,0.000886,0.0,0.0728,0.863,144.034,183093.0,3.0
206,24,2012,Baku,Serbia,Željko Joksimović,Nije Ljubav Stvar,214,3rd,06yHUA1bk2QnwjtXAvufcE,0.377,0.73,5.0,-6.984,1.0,0.0546,0.5920000000000001,1.8000000000000001e-06,0.865,0.353,87.62799999999999,222882.0,4.0
207,25,2012,Baku,Ukraine,Gaitana,Be My Guest,65,15th,,,,,,,,,,,,,,
208,26,2012,Baku,Moldova,Pasha Parfeny,Lăutar,81,11th,,,,,,,,,,,,,,
209,1,2011,Dusseldorf,Finland,Paradise Oskar,Da Da Dam,57,21st,2rckqWWzE0HM3C6ZppBr0f,0.53,0.512,2.0,-8.37,1.0,0.0296,0.166,3.57e-06,0.09,0.184,73.057,186000.0,4.0
210,2,2011,Dusseldorf,Bosnia & Herzegovina,Dino Merlin,Love In Rewind,125,6th,60w4OUxN2PmTnlrgk4aRBX,0.529,0.648,6.0,-8.2,0.0,0.028999999999999998,0.451,0.0,0.0364,0.386,84.111,177093.0,4.0
211,3,2011,Dusseldorf,Denmark,A Friend In London,New Tomorrow,134,5th,0roS9EnPrJlnpdyBtcie8R,0.496,0.6679999999999999,7.0,-6.276,1.0,0.0293,0.157,0.0,0.102,0.408,146.929,181774.0,4.0
212,4,2011,Dusseldorf,Lithuania,Evelina Sašenko,C'est Ma Vie,63,19th,,,,,,,,,,,,,,
213,5,2011,Dusseldorf,Hungary,Kati Wolf,What About My Dreams?,53,22nd,,,,,,,,,,,,,,
214,6,2011,Dusseldorf,Ireland,Jedward,Lipstick,119,8th,,,,,,,,,,,,,,
215,7,2011,Dusseldorf,Sweden,Eric Saade,Popular,185,3rd,,,,,,,,,,,,,,
216,8,2011,Dusseldorf,Estonia,Getter Jaani,Rockefeller Street,44,24th,37s8uwIjw72XfMseKJXNOO,0.659,0.9359999999999999,2.0,-3.5189999999999997,1.0,0.0606,0.28300000000000003,0.0207,0.192,0.884,161.983,155009.0,4.0
217,9,2011,Dusseldorf,Greece,Loucas Yiorkas feat. Stereo Mike,Watch My Dance,120,7th,,,,,,,,,,,,,,
218,10,2011,Dusseldorf,Russia,Alexej Vorobjov,Get You,77,16th,,,,,,,,,,,,,,
219,11,2011,Dusseldorf,France,Amaury Vassili,Sognu,82,15th,3ZMFGLy09TWcbWgLJjaKEz,0.292,0.7709999999999999,10.0,-3.7260000000000004,0.0,0.0453,0.797,0.196,0.14800000000000002,0.228,128.235,175667.0,4.0
220,12,2011,Dusseldorf,Italy,Raphael Gualazzi,Madness Of Love,189,2nd,6prnx4byUI5sRfW6Ub5BT6,0.528,0.414,0.0,-7.316,1.0,0.035,0.718,0.00121,0.221,0.374,143.659,212293.0,4.0
221,13,2011,Dusseldorf,Switzerland,Anna Rossinelli,In Love For A While,19,25th,4GtO1RnTMOhGusfp63Q3MN,0.7609999999999999,0.39799999999999996,9.0,-6.472,1.0,0.0375,0.251,0.0,0.0976,0.652,127.919,168949.0,4.0
222,14,2011,Dusseldorf,United Kingdom,Blue,I Can,100,11th,,,,,,,,,,,,,,
223,15,2011,Dusseldorf,Moldova,Zdob și Zdub,So Lucky,97,12th,4AUdbSiP8eGcJK75p4bIDK,0.74,0.888,4.0,-3.8569999999999998,0.0,0.0613,0.0073,0.0037,0.10400000000000001,0.805,148.032,229747.0,4.0
224,16,2011,Dusseldorf,Germany,Lena,Taken By A Stranger,107,10th,,,,,,,,,,,,,,
225,17,2011,Dusseldorf,Romania,Hotel FM,Change,77,17th,,,,,,,,,,,,,,
226,18,2011,Dusseldorf,Austria,Nadine Beiler,The Secret Is Love,64,18th,6w44eqrgNiCQqPNwGaTSSJ,0.506,0.466,7.0,-5.01,1.0,0.0382,0.213,0.0,0.0953,0.0981,122.785,179819.0,4.0
227,19,2011,Dusseldorf,Azerbaijan,Ell/Nikki,Running Scared,221,1st,,,,,,,,,,,,,,
228,20,2011,Dusseldorf,Slovenia,Maja Keuc,No One,96,13th,,,,,,,,,,,,,,
229,21,2011,Dusseldorf,Iceland,Sjonni's Friends,Coming Home,61,20th,,,,,,,,,,,,,,
230,22,2011,Dusseldorf,Spain,Lucía Pérez,Que Me Quiten Lo Bailao - They Can't Take The Fun Away From Me,50,23rd,,,,,,,,,,,,,,
231,23,2011,Dusseldorf,Ukraine,Mika Newton,Angel,159,4th,,,,,,,,,,,,,,
232,24,2011,Dusseldorf,Serbia,Nina,Čaroban,85,14th,,,,,,,,,,,,,,
233,25,2011,Dusseldorf,Georgia,Eldrine,One More Day,110,9th,,,,,,,,,,,,,,
234,1,2010,Oslo,Azerbaijan,Safura,Drip Drop,145,5th,,,,,,,,,,,,,,
235,2,2010,Oslo,Spain,Daniel Diges,Algo Pequeñito (Something Tiny),68,15th,,,,,,,,,,,,,,
236,3,2010,Oslo,Norway,Didrik Solli-Tangen,My Heart Is Yours,35,20th,7FnI80Vp8EjRwyhvdMqsR3,0.28300000000000003,0.242,9.0,-5.376,1.0,0.0328,0.826,2.6700000000000002e-05,0.134,0.22,132.833,185547.0,4.0
237,4,2010,Oslo,Moldova,Sunstroke Project & Olia Tira,Run Away,27,22nd,,,,,,,,,,,,,,
238,5,2010,Oslo,Cyprus,Jon Lilygreen & The Islanders,Life Looks Better In Spring,27,21st,,,,,,,,,,,,,,
239,6,2010,Oslo,Bosnia & Herzegovina,Vukašin Brajić,Thunder And Lightning,51,17th,,,,,,,,,,,,,,
240,7,2010,Oslo,Belgium,Tom Dice,Me And My Guitar,143,6th,4cdzY3vgDsEhlnBk3PhrRO,0.47100000000000003,0.345,9.0,-8.373,1.0,0.0334,0.625,0.0,0.14400000000000002,0.418,128.695,180940.0,4.0
241,8,2010,Oslo,Serbia,Milan Stanković,Ovo Je Balkan,72,13th,,,,,,,,,,,,,,
242,9,2010,Oslo,Belarus,3+2,Butterflies,18,24th,,,,,,,,,,,,,,
243,10,2010,Oslo,Ireland,Niamh Kavanagh,It's For You,25,23rd,5YCF8B3rQbudjv78Uw4rPt,0.395,0.46399999999999997,0.0,-5.1739999999999995,1.0,0.0294,0.32899999999999996,1.21e-06,0.0917,0.16,129.634,179973.0,4.0
244,11,2010,Oslo,Greece,Giorgos Alkaios & Friends,OPA,140,8th,,,,,,,,,,,,,,
245,12,2010,Oslo,United Kingdom,Josh,That Sounds Good To Me,10,25th,,,,,,,,,,,,,,
246,13,2010,Oslo,Georgia,Sofia Nizharadze,Shine,136,9th,,,,,,,,,,,,,,
247,14,2010,Oslo,Turkey,maNga,We Could Be The Same,170,2nd,19BkfCQ8jcAlb33zf7jzVa,0.557,0.6809999999999999,9.0,-7.065,0.0,0.0266,0.0121,2.8800000000000002e-05,0.138,0.415,111.955,228310.0,4.0
248,15,2010,Oslo,Albania,Juliana Pasha,It's All About You,62,16th,,,,,,,,,,,,,,
249,16,2010,Oslo,Iceland,Hera Björk,Je Ne Sais Quoi,41,19th,5htZ21M2zhg3WLTib7YQ5r,0.529,0.861,3.0,-4.978,0.0,0.0712,0.0452,3.46e-06,0.147,0.303,131.966,180037.0,4.0
250,17,2010,Oslo,Ukraine,Alyosha,Sweet People,108,10th,7CJ8kE34MpQpL8jZUazdPt,0.634,0.40700000000000003,4.0,-6.468999999999999,0.0,0.0397,0.718,1.02e-06,0.138,0.11800000000000001,119.929,180088.0,4.0
251,18,2010,Oslo,France,Jessy Matador,Allez Ola Olé,82,12th,1xSl7uE9De7aLDEGXahCJB,0.642,0.934,11.0,-4.706,1.0,0.06,0.0020800000000000003,1.08e-06,0.0612,0.721,129.024,172746.0,4.0
252,19,2010,Oslo,Romania,Paula Seling & Ovi,Playing With Fire,162,3rd,,,,,,,,,,,,,,
253,20,2010,Oslo,Russia,Peter Nalitch & Friends,Lost And Forgotten,90,11th,,,,,,,,,,,,,,
254,21,2010,Oslo,Armenia,Eva Rivas,Apricot Stone,141,7th,,,,,,,,,,,,,,
255,22,2010,Oslo,Germany,Lena,Satellite,246,1st,,,,,,,,,,,,,,
256,23,2010,Oslo,Portugal,Filipa Azevedo,Há Dias Assim,43,18th,,,,,,,,,,,,,,
257,24,2010,Oslo,Israel,Harel Skaat,Milim,71,14th,,,,,,,,,,,,,,
258,25,2010,Oslo,Denmark,Chanée & N'evergreen,In A Moment Like This,149,4th,,,,,,,,,,,,,,
259,1,2009,Moscow,Lithuania,Sasha Son,Love,23,23rd,,,,,,,,,,,,,,
260,2,2009,Moscow,Israel,Noa & Mira Awad,There Must Be Another Way,53,16th,,,,,,,,,,,,,,
261,3,2009,Moscow,France,Patricia Kaas,Et S'il Fallait Le Faire,107,8th,068tmpCeSwnAWm3XtECRj9,0.259,0.581,9.0,-8.383,1.0,0.0848,0.552,4.11e-06,0.905,0.226,184.74400000000003,227307.0,3.0
262,4,2009,Moscow,Sweden,Malena Ernman,La Voix,33,21st,,,,,,,,,,,,,,
263,5,2009,Moscow,Croatia,Igor Cukrov feat. Andrea,Lijepa Tena,45,18th,,,,,,,,,,,,,,
264,6,2009,Moscow,Portugal,Flor-de-lis,Todas As Ruas Do Amor,57,15th,0tUCbArcV1LIbXSEye6uys,0.589,0.614,7.0,-6.346,1.0,0.0398,0.36,0.0,0.113,0.413,96.99700000000001,253333.0,4.0
265,7,2009,Moscow,Iceland,Yohanna,Is It True?,218,2nd,0WVmw3JD2FMQClBH9ZZGbf,0.473,0.5660000000000001,0.0,-7.023,0.0,0.0278,0.35,0.0,0.0697,0.226,84.0,197253.0,4.0
266,8,2009,Moscow,Greece,Sakis Rouvas,This Is Our Night,120,7th,3KcRTivsw7hbxSRMGDtsMS,0.649,0.9229999999999999,6.0,-4.718,0.0,0.0656,0.0362,0.0,0.155,0.6509999999999999,127.95299999999999,177563.0,4.0
267,9,2009,Moscow,Armenia,Inga & Anush,Jan Jan,92,10th,,,,,,,,,,,,,,
268,10,2009,Moscow,Russia,Anastasia Prikhodko,Mamo,91,11th,,,,,,,,,,,,,,
269,11,2009,Moscow,Azerbaijan,AySel & Arash,Always,207,3rd,,,,,,,,,,,,,,
270,12,2009,Moscow,Bosnia & Herzegovina,Regina,Bistra Voda,106,9th,72pPz0QL8HncjUkgFJguHb,0.522,0.778,6.0,-3.523,0.0,0.0388,0.43799999999999994,2.38e-06,0.107,0.385,152.214,186253.0,4.0
271,13,2009,Moscow,Moldova,Nelly Ciobanu,Hora Din Moldova,69,14th,6Jg3xcScQ00BiVMKM915yL,0.569,0.865,6.0,-4.997,0.0,0.0505,0.0362,0.0,0.168,0.516,90.014,176762.0,4.0
272,14,2009,Moscow,Malta,Chiara,What If We,31,22nd,,,,,,,,,,,,,,
273,15,2009,Moscow,Estonia,Urban Symphony,Rändajad,129,6th,6IiZBBFqyyK3CLo9BqmmAH,0.687,0.716,5.0,-5.997000000000001,0.0,0.0447,0.0318,0.0,0.32899999999999996,0.642,123.905,179995.0,4.0
274,16,2009,Moscow,Denmark,Brinck,Believe Again,74,13th,,,,,,,,,,,,,,
275,17,2009,Moscow,Germany,Alex Swings Oscar Sings!,Miss Kiss Kiss Bang,35,20th,0LUwe0PKdjLtAoq4uRIGzT,0.624,0.889,10.0,-4.482,0.0,0.212,0.107,0.0,0.205,0.561,135.996,183600.0,4.0
276,18,2009,Moscow,Turkey,Hadise,Düm Tek Tek,177,4th,3SxMoYjub3X3q5hJm9ZPyM,0.747,0.9670000000000001,5.0,-3.6910000000000003,1.0,0.0561,0.133,2.54e-05,0.0831,0.8740000000000001,115.021,183438.0,4.0
277,19,2009,Moscow,Albania,Kejsi Tola,Carry Me In Your Dreams,48,17th,2RXAceow4zcK8jRSIdfbeH,0.6829999999999999,0.665,8.0,-8.405,0.0,0.0499,0.0028699999999999997,0.0,0.0839,0.667,127.96799999999999,187106.0,4.0
278,20,2009,Moscow,Norway,Alexander Rybak,Fairytale,387,1st,2rzWSywjwzbysCmdOzssFR,0.5760000000000001,0.785,2.0,-5.359,0.0,0.0295,0.62,4.26e-05,0.233,0.674,107.99600000000001,182640.0,4.0
279,21,2009,Moscow,Ukraine,Svetlana Loboda,Be my Valentine! (Anti-crisis Girl),76,12th,,,,,,,,,,,,,,
280,22,2009,Moscow,Romania,Elena,The Balkan Girls,40,19th,32e6HtEtm1N8MEcvV4Mq6k,0.7170000000000001,0.855,5.0,-4.474,1.0,0.0302,0.0215,0.00023999999999999998,0.0466,0.633,130.091,179973.0,4.0
281,23,2009,Moscow,United Kingdom,Jade Ewen,It's My Time,173,5th,,,,,,,,,,,,,,
282,24,2009,Moscow,Finland,Waldo's People,Lose Control,22,25th,,,,,,,,,,,,,,
283,25,2009,Moscow,Spain,Soraya,La Noche Es Para Mí (The Night Is For Me),23,24th,,,,,,,,,,,,,,
284,1,2008,Belgrade,Romania,Nico & Vlad,Pe-o Margine De Lume,45,20th,,,,,,,,,,,,,,
285,2,2008,Belgrade,United Kingdom,Andy Abraham,Even If,14,25th,,,,,,,,,,,,,,
286,3,2008,Belgrade,Albania,Olta Boka,Zemrën E Lamë Peng,55,17th,1SmtEzPZF7FucrJDAYG4xC,0.518,0.5579999999999999,8.0,-5.9879999999999995,1.0,0.0277,0.7390000000000001,4.54e-06,0.0875,0.5720000000000001,95.228,208767.0,3.0
287,4,2008,Belgrade,Germany,No Angels,Disappear,14,23rd,,,,,,,,,,,,,,
288,5,2008,Belgrade,Armenia,Sirusho,"Qele, Qele",199,4th,11HGVXkQeb543M75hMBnOM,0.684,0.7959999999999999,9.0,-5.425,0.0,0.068,6.59e-05,0.0299,0.126,0.379,127.988,214000.0,4.0
289,6,2008,Belgrade,Bosnia & Herzegovina,Laka,Pokušaj,110,10th,,,,,,,,,,,,,,
290,7,2008,Belgrade,Israel,Boaz,The Fire In Your Eyes,124,9th,,,,,,,,,,,,,,
291,8,2008,Belgrade,Finland,Teräsbetoni,Missä Miehet Ratsastaa,35,22nd,5wWBhkYsdktIIkRHAHzZAx,0.584,0.966,11.0,-2.488,0.0,0.0498,0.00168,0.006940000000000001,0.094,0.5589999999999999,140.066,231560.0,4.0
292,9,2008,Belgrade,Croatia,Kraljevi Ulice & 75 Cents,Romanca,44,21st,,,,,,,,,,,,,,
293,10,2008,Belgrade,Poland,Isis Gee,For Life,14,24th,,,,,,,,,,,,,,
294,11,2008,Belgrade,Iceland,Euroband,This Is My Life,64,14th,,,,,,,,,,,,,,
295,12,2008,Belgrade,Turkey,Mor ve Ötesi,Deli,138,7th,,,,,,,,,,,,,,
296,13,2008,Belgrade,Portugal,Vânia Fernandes,Senhora Do Mar (Negras Águas),69,13th,6Aj4aFFUNpLdanLlxIJ2v5,0.435,0.589,1.0,-5.792999999999999,0.0,0.0367,0.65,0.0,0.36,0.32899999999999996,69.943,182707.0,3.0
297,14,2008,Belgrade,Latvia,Pirates Of The Sea,Wolves Of The Sea,83,12th,,,,,,,,,,,,,,
298,15,2008,Belgrade,Sweden,Charlotte Perrelli,Hero,47,18th,,,,,,,,,,,,,,
299,16,2008,Belgrade,Denmark,Simon Mathew,All Night Long,60,15th,,,,,,,,,,,,,,
300,17,2008,Belgrade,Georgia,Diana Gurtskaya,Peace Will Come,83,11th,,,,,,,,,,,,,,
301,18,2008,Belgrade,Ukraine,Ani Lorak,Shady Lady,230,2nd,5devjcsxeVnwYQbaYJ2Ewx,0.706,0.6990000000000001,6.0,-12.515,0.0,0.0512,0.0501,1.07e-06,0.0692,0.753,127.95299999999999,178880.0,4.0
302,19,2008,Belgrade,France,Sébastien Tellier,Divine,47,19th,,,,,,,,,,,,,,
303,20,2008,Belgrade,Azerbaijan,Elnur & Samir,Day After Day,132,8th,,,,,,,,,,,,,,
304,21,2008,Belgrade,Greece,Kalomira,Secret Combination,218,3rd,1E6EOpzAkHbKAMZscImC41,0.78,0.7979999999999999,1.0,-4.853,1.0,0.040999999999999995,0.292,1.91e-05,0.11599999999999999,0.905,110.979,182587.0,4.0
305,22,2008,Belgrade,Spain,Rodolfo Chikilicuatre,Baila El Chiki Chiki,55,16th,7wUKRQMHG0fI3DBzi6Tp29,0.861,0.866,10.0,-5.446000000000001,0.0,0.18100000000000002,0.0146,0.00011599999999999999,0.0591,0.823,97.01299999999999,173720.0,4.0
306,23,2008,Belgrade,Serbia,Jelena Tomašević feat. Bora Dugic,Oro,160,6th,,,,,,,,,,,,,,
307,24,2008,Belgrade,Russia,Dima Bilan,Believe,272,1st,,,,,,,,,,,,,,
308,25,2008,Belgrade,Norway,Maria,Hold On Be Strong,182,5th,,,,,,,,,,,,,,
309,1,2007,Helsinki,Bosnia & Herzegovina,Marija Sestic,Rijeka Bez Imena,106,11th,,,,,,,,,,,,,,
310,2,2007,Helsinki,Spain,NASH,I Love You Mi Vida,43,20th,,,,,,,,,,,,,,
311,3,2007,Helsinki,Belarus,Dmitry Koldun,Work Your Magic,145,6th,,,,,,,,,,,,,,
312,4,2007,Helsinki,Ireland,Dervish,They Can't Stop The Spring,5,24th,,,,,,,,,,,,,,
313,5,2007,Helsinki,Finland,Hanna Pakarinen,Leave Me Alone,53,17th,,,,,,,,,,,,,,
314,6,2007,Helsinki,North Macedonia,Karolina,Mojot Svet,73,14th,,,,,,,,,,,,,,
315,7,2007,Helsinki,Slovenia,Alenka Gotar,Cvet Z Juga,66,15th,5TyLmF69awrR61SO4v0NT4,0.31,0.767,0.0,-3.0669999999999997,0.0,0.0552,0.718,1.32e-06,0.34299999999999997,0.373,123.925,183760.0,4.0
316,8,2007,Helsinki,Hungary,Magdi Rúzsa,Unsubstantial Blues,128,9th,,,,,,,,,,,,,,
317,9,2007,Helsinki,Lithuania,4Fun,Love Or Leave,28,21st,,,,,,,,,,,,,,
